STITCH ID	Drug status	Phase	CGE	OGE	Network	Expression	MolecularWeight	XLogP	HydrogenBondDonorCount	HydrogenBondAcceptorCount	PolarSurfaceArea	FormalCharge	NumRings	RotatableBondCount	Refractivity	Ro5	Ghose	Veber	wQED
CIDs00002477	approved	Phase 4	-2.1336046571710763	0.9347368421052631	0.3302356768567078	0.2444141651373961	385.50314	2.029	0.0	7.0	69.64	0.0	1.0	6.0	118.699	1.0	1.0	1.0	0.548070564537292
CIDs00002479	approved	Phase 4	-2.0070591247565246	1.4118	0.47070451945675007	0.2730630636264222	212.24564	1.4525	2.0	5.0	75.27	0.0	0.0	3.0	62.2324	1.0	0.0	1.0	0.692410992941382
CIDs00002481	approved	Phase 4	-2.044364683751336	1.3955	0.4097700235020071	0.22701489957759358	224.25634	1.6186	2.0	5.0	75.27	0.0	0.0	4.0	66.5654	1.0	0.0	1.0	0.56027314230779
CIDs00002484	approved	Phase 4	-2.209756170105382	1.682	0.3880372704394668	0.6615675850187117	317.46718	5.7693	0.0	1.0	3.24	0.0	4.0	5.0	105.181	0.0	0.0	1.0	0.451502977448913
CIDs00002520	approved	Phase 4	-2.092161707127603	1.2462105263157894	0.40324855315427144	0.3297506667400946	454.60162	5.09308	0.0	6.0	63.95	0.0	2.0	13.0	132.461	0.0	1.0	0.0	0.419913000629652
CIDs00002536	unapproved	Phase 3	-2.1779906375670763	0.6751999999999999	0.3878240261225848	0.5239602199184606	398.41248	2.2581	3.0	9.0	134.81	0.0	2.0	11.0	106.8283	1.0	1.0	0.0	0.225323036604527
CIDs00002540	approved	Phase 4	-2.0744567403482526	0.6981999999999999	0.46843170899107767	0.26532400163545755	610.65966	6.3191	1.0	11.0	143.34	0.0	6.0	13.0	165.7692	0.0	0.0	0.0	0.115870332256466
CIDs00002541	unapproved	Phase 3	-2.202111272529192	0.9501999999999998	0.47069180480161954	0.4240774010828384	440.454	4.0286	2.0	8.0	118.81	0.0	6.0	7.0	122.348	1.0	1.0	1.0	0.381929507187351
CIDs00002543	unapproved	Phase 3	-2.0782096858667227	0.8534999999999999	0.3680317589068447	0.2899929313723243	310.42994	5.7278	1.0	2.0	29.46	0.0	2.0	4.0	97.095	0.0	0.0	1.0	0.730915893951868
CIDs00002551	approved	Phase 4	-2.01679684076802	1.307891304347826	0.5033065714288297	0.4841765297096388	147.1955	0.4882	1.0	3.0	52.32	1.0	0.0	4.0	37.7118	1.0	0.0	1.0	0.588575909162353
CIDs00002554	approved	Phase 4	-1.8388099261255466	1.047888888888889	0.44507973812709567	0.3516440678949213	236.26858	4.1525	1.0	2.0	46.33	0.0	2.0	1.0	76.0464	1.0	0.0	1.0	0.807868545005562
CIDs00002562	approved	Phase 4	-1.869428117722101	1.491	0.48112528857552883	0.5678160339945184	333.46504	3.4	0.0	4.0	38.77	0.0	1.0	11.0	96.934	1.0	1.0	0.0	0.459483107875624
CIDs00002564	approved	Phase 4	-2.2710990624825493	1.3115	0.2547867660822362	0.3258560936783179	290.78786	3.4026	0.0	3.0	25.36	0.0	2.0	6.0	81.909	1.0	1.0	1.0	0.815171926137003
CIDs00002576	approved	Phase 4	-2.0248275128976427	0.125	0.4759754372829184	0.1451243666402162	260.32996	3.1139	2.0	6.0	90.65	0.0	0.0	10.0	68.3951	1.0	0.0	1.0	0.626808887177413
CIDs00002581	approved	Phase 4	-2.2183297618614897	1.449	0.4831393551160195	0.4582594183689437	273.71428	4.1626	2.0	2.0	53.09	0.0	6.0	2.0	77.1665	1.0	0.0	1.0	0.497559118494007
CIDs00002583	approved	Phase 4	-2.1673214586288463	0.5559999999999999	0.3697469634574988	0.20834771517562725	292.37336	2.228	3.0	5.0	70.59	0.0	2.0	6.0	85.8772	1.0	1.0	1.0	0.761389218585892
CIDs00002585	approved	Phase 4	-2.073285968852817	1.0814722222222226	0.42489410520210114	0.39648791128788274	406.47424	4.1289	3.0	5.0	75.74	0.0	7.0	10.0	117.9932	1.0	1.0	1.0	0.297901623542753
CIDs00002663	approved	Phase 4	-2.1368977788062717	0.9298571428571428	0.4440156788990008	0.3707484905556499	379.49372	3.3546	3.0	7.0	90.9	0.0	1.0	12.0	107.9907	1.0	1.0	0.0	0.479758287788112
