STITCH ID	Smiles	MolecularWeight	XLogP	HydrogenBondDonorCount	HydrogenBondAcceptorCount	PolarSurfaceArea	FormalCharge	NumRings	RotatableBondCount	Refractivity	Ro5	Ghose	Veber	wQED
CIDs11152667	NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1	362.4217632	4.0196	4.0	7.0	124.49	0.0	2.0	6.0	99.142	1.0	1.0	1.0	0.611418006013673
CIDs11667832	NC(=O)c1ccc2c(c1O)[C@]13CCN(CC4CC4)[C@H](C2)[C@]1(O)CCC(=O)C3	370.44214	1.8916	3.0	6.0	103.86	0.0	1.0	3.0	103.8137	1.0	1.0	1.0	0.750653108380236
CIDs00004178	Cc1cccc(C)c1OCC(C)N	179.25878	2.7297	1.0	2.0	35.25	0.0	1.0	3.0	55.1874	1.0	0.0	1.0	0.773904994146419
CIDs16720766	NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O	443.5193	3.9169	3.0	9.0	140.74	0.0	4.0	6.0	116.0809	1.0	0.0	0.0	0.404127345050308
CIDs00135349	CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1	369.32854	4.3392	0.0	3.0	23.55	0.0	2.0	5.0	104.791	1.0	1.0	1.0	0.783471623356594
CIDs06450813	CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1	376.43164	3.6715	0.0	7.0	95.81	0.0	5.0	5.0	105.3885	1.0	1.0	1.0	0.431772207375518
CIDs09862248	Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1	328.40216	4.1866	2.0	4.0	66.76	0.0	2.0	6.0	95.5008	1.0	1.0	1.0	0.834326708291473
CIDs00004735	N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1	340.41946	4.4829	4.0	6.0	118.2	0.0	2.0	10.0	100.7032	1.0	1.0	1.0	0.287509999960646
CIDs00393111	C=C1C[C@H]2C=Nc3cc(OCCCOc4cc5c(cc4OC)C(=O)N4CC(=C)C[C@H]4C=N5)c(OC)cc3C(=O)N2C1	556.60898	3.2719	0.0	10.0	102.26	0.0	2.0	8.0	169.678	0.0	0.0	1.0	0.355645718145294
CIDs05464343	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O	405.44488	1.1429	2.0	9.0	116.25	0.0	1.0	11.0	112.0545	1.0	1.0	0.0	0.522835961135246
CIDs00002811	CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl	318.8211	3.2783	0.0	4.0	60.91	0.0	2.0	2.0	95.601	1.0	1.0	1.0	0.85221486565847
CIDs11434515	O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1	484.6507	4.6256	1.0	6.0	112.24	1.0	3.0	10.0	136.5088	1.0	0.0	1.0	0.255108441452884
CIDs00001569	On1ccccc1=S	127.1643	1.4549	1.0	3.0	57.25	0.0	1.0	0.0	32.8087	1.0	0.0	1.0	0.423618783227942
CIDs00021771	CC(CC1c2ccccc2CCc2ccccc21)CN(C)C	293.44578	4.5049	0.0	1.0	3.24	0.0	2.0	4.0	95.451	1.0	1.0	1.0	0.801715290618869
CIDs05489503	O/N=C/c1cc[n+](C[n+]2ccc(/C=N/O)cc2)cc1	258.27586	0.3836	2.0	4.0	72.94	2.0	2.0	4.0	71.906	1.0	0.0	1.0	0.359844187133936
CIDs00156418	C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12	357.4119896	6.5329	1.0	1.0	12.03	0.0	4.0	7.0	100.4327	0.0	0.0	1.0	0.370661107978779
CIDs00004499	COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]	388.41436	4.0538	1.0	5.0	110.45	0.0	1.0	8.0	108.9457	1.0	1.0	1.0	0.410178863959696
CIDs00003342	CC(C(=O)O)c1cccc(Oc2ccccc2)c1	242.26986	3.667	1.0	3.0	46.53	0.0	2.0	4.0	69.3098	1.0	0.0	1.0	0.889346837322856
CIDs00037464	CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1	291.42836	3.8629	2.0	3.0	41.49	0.0	1.0	7.0	87.8575	1.0	1.0	1.0	0.801198970695308
CIDs00206044	COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1	516.54182	5.3657	1.0	9.0	111.33	0.0	4.0	13.0	139.8398	0.0	0.0	0.0	0.250761114391751
CIDs11326715	C[C@](O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	389.3279696	3.29026	2.0	6.0	106.14	0.0	2.0	7.0	92.0135	1.0	1.0	1.0	0.752732735060134
CIDs06506050	CN1CCN(c2ccccc2/C=C2\SCCN(c3ccc(Cl)c(Cl)c3)C2=O)CC1	448.40852	4.934	0.0	5.0	52.09	0.0	2.0	3.0	134.767	1.0	1.0	1.0	0.623397181938481
