STITCH ID	Drug status	Phase	OGE_CGE	OGE	Expression	CGE	Network	Chemical	OGE_CGE_Network_Expression	OGE_CGE_Network_Expression_Chemical
CIDs00447865	unapproved	Phase 2	0.1338703180934547	0.1627083449188534	0.0107880887102315	0.2148761904761905	0.0355947904476476	0.3104803401360544	0.0784424431785146	0.1606380952380952
CIDs00448013	unapproved	Phase 3	0.5787173067041127	0.0392244781144782	0.2141889395481065	0.9450555555555556	0.0003888888888888	0.3473436375661375	0.1121227284841539	0.3664222222222222
CIDs00448281	unapproved	Phase 1	0.5298398548981882	0.4747979797979798	0.8105757575757576	0.6073434343434344	0.7025656565656566	0.4162223905723905	0.4898012982948588	0.4887272727272727
CIDs00448537	approved	Phase 4	0.5190654901051329	0.5603689058956917	0.4215428571428571	0.0147853741496598	0.9370142857142856	0.8022230952380952	0.8323315816326531	0.7741873809523809
CIDs00448812	approved	Phase 4	0.6583845999679333	0.6213376108018966	0.8713968253968255	0.7682757575757576	0.7262777777777777	0.3396896069538926	0.4373012912572436	0.5409999999999999
CIDs00449193	approved	Phase 4	0.3086468148343034	0.0353703703703703	0.2614197530864197	0.9975925925925928	0.2969012345679012	0.4424864295512443	0.5856023183777813	0.5821481481481482
CIDs00449459	unapproved	Phase 3	0.5307923478482302	0.523784981056757	0.7321411764705882	0.5245058823529412	0.5824784072319453	0.6060427450980392	0.5029013445378151	0.530235294117647
CIDs00452306	unapproved	Phase 3	0.5875549122807018	0.4012631578947368	0.7463474566693513	0.1798526315789474	0.9907368421052632	0.6654566416040101	0.7193655418798607	0.8054473684210526
CIDs00454194	unapproved	Phase 2	0.7970442460317461	0.888	0.7861190476190477	0.9762361678004536	0.1391852530406103	0.5910551020408163	0.3488552824159967	0.515640589569161
CIDs00456199	approved	Phase 4	0.2789319248826291	0.8511905600268277	0.5836901408450704	0.8956197183098591	0.6219828638497653	0.5254116029510396	0.3371070889986383	0.2784647887323944
CIDs00457928	unapproved	Phase 2	0.8889782568718544	0.9412021196283392	0.4672317073170732	0.4165487804878049	0.9378170731707316	0.377792174796748	0.6903174651567945	0.5016463414634146
CIDs00466151	unapproved	Phase 3	0.6581403621378622	0.3861818181818181	0.5947272727272728	0.9685272727272728	0.9507407601993964	0.4081958658008658	0.7135819750041137	0.531190909090909
CIDs00467825	unapproved	Phase 1	0.891105007558579	0.6808192546342549	0.9743142857142856	0.8323238095238096	0.971352380952381	0.2103826984126984	0.9002583862433863	0.3439428571428571
CIDs00468595	approved	Phase 4	0.663624536917452	0.1316251925539404	0.9569115327380951	0.422734375	0.63090625	0.4132596354166666	0.7915826950666535	0.673984375
CIDs00476861	unapproved	Phase 1	0.0829444444444444	0.0514705882352941	0.2773652456884075	0.0009313725490196	0.0001078431372549	0.781797794117647	0.1048659296361718	0.5470196078431373
CIDs00477468	approved	Phase 4	0.6304138187065459	0.7301439393939394	0.5174181818181818	0.9892818614718616	0.0164234327541146	0.585470432900433	0.2583591637655273	0.3553636363636363
CIDs00493570	approved	Phase 4	0.140193961352657	0.6073164136185875	0.3477246376811594	0.5007536231884058	0.8883165976535542	0.3602895100069013	0.3245840326787325	0.3177536231884058
CIDs00501254	unapproved	Phase 2	0.3399722651899555	0.6573240123246611	0.0995274116950589	0.5832254901960784	0.5881960784313726	0.5502942304699657	0.3240128263908973	0.4149307189542483
CIDs00610479	approved	Phase 4	0.489259375	0.3850065476190476	0.98875	0.349953125	0.2996328125	0.842276915922619	0.6329871341765873	0.79676171875
CIDs00636380	approved	Phase 4	0.7956984126984127	0.8984973544973545	0.2382338809884291	0.4112063492063492	0.7859876543209877	0.2967621315192744	0.6382858650732066	0.4486788359788359
CIDs00636402	approved	Phase 4	0.8249791411135161	0.3904861111111111	0.4730555555555555	0.3497361111111111	0.1007361111111111	0.2860030092592592	0.3193314577397911	0.4220694444444444
CIDs00637568	approved	Phase 4	0.8380560327755979	0.8351966126063952	0.852231884057971	0.897927536231884	0.3226392247350829	0.6080509661835749	0.5472280795423025	0.6407173913043478
CIDs00638024	unapproved	Phase 2	0.2983653499278499	0.3204406159011928	0.6414615384615385	0.944876086760462	0.002375	0.7951314331501832	0.5564210660866911	0.7150384615384616
CIDs00638026	unapproved	Phase 2	0.4742516446936901	0.650897945047377	0.3856141807687262	0.5366809421323626	0.4054593512232717	0.7460177398989899	0.491941649228297	0.6355568181818182
CIDs00638678	approved	Phase 4	0.4933979105012478	0.4535454545454545	0.2760074603174603	0.0547454545454545	0.4107541773066505	0.6744538744588744	0.3611609797896887	0.6337090909090909
CIDs00638792	approved	Phase 4	0.8691544992175274	0.5944367508078777	0.8127558733129157	0.872394366197183	0.8217605633802817	0.6915422535211267	0.8217306565891073	0.7805070422535211
CIDs00639665	unapproved	Phase 2	0.8823630460448642	0.3662025568181819	0.3444545454545454	0.6284655303030303	0.9633522727272728	0.4115654073199528	0.530339871933622	0.4771590909090909
CIDs00643976	approved	Phase 4	0.512507731092437	0.7211176470588235	0.0770235294117646	0.0629411764705882	0.8184705882352942	0.424109243697479	0.5403428350734233	0.3965411764705883
CIDs00644019	approved	Phase 4	0.385850443817878	0.4629431443191312	0.5651842105263158	0.4018552631578947	0.9484736842105264	0.5163743421052631	0.5241136895629084	0.5030921052631578
CIDs00644077	approved	Phase 4	0.7280052342394449	0.3859001879699248	0.2864052023999393	0.9913552631578948	0.4157363152198678	0.5726589912280702	0.7049841687552214	0.658578947368421
CIDs00644170	unapproved	Phase 2	0.3521494724472447	0.4672968443272899	0.9265049504950494	0.9676336633663366	0.4165544554455446	0.3031887120854942	0.4496185056981696	0.4679474068835455
CIDs00656511	approved	Phase 4	0.517900625431332	0.6234547144582471	0.0370542268703875	0.7741413043478261	0.1468548505238722	0.7287563405797102	0.1117244897011201	0.1870108695652173
CIDs00656583	approved	Phase 4	0.4381470102196129	0.7086328353153696	0.8635616438356164	0.7351369863013698	0.565027397260274	0.6807562617367412	0.610064849039849	0.5938656392694064
CIDs00656664	approved	Phase 4	0.8354009239516703	0.7632537313432836	0.9470517057569297	0.8045820895522389	0.8928208955223881	0.7109272980336413	0.4319750177683013	0.7287985074626866
CIDs00657201	approved	Phase 4	0.962509414562046	0.9240032225710796	0.9665403192046048	0.9803195970695971	0.9395686694258124	0.7410661172161171	0.9554624970725244	0.7992747252747252
CIDs00657308	approved	Phase 4	0.7405213523195541	0.7397892094624113	0.7397415904147921	0.7400153999386018	0.7397773047005065	0.8507780328798186	0.7406403999386016	0.8565214285714285
CIDs00667467	approved	Phase 4	0.5489934232026145	0.8111237745098039	0.6118010864952041	0.6134264705882353	0.2243823529411764	0.6279869047619048	0.6742741395042866	0.7401764705882353
CIDs00667476	approved	Phase 4	0.4039099845942588	0.7426626124323704	0.8122738743335518	0.6689193548387097	0.605241935483871	0.8099477342549923	0.6884360574908962	0.7430725806451614
CIDs00667528	unapproved	Phase 2	0.4970580357142857	0.0106055976229361	0.0832589285714285	0.5684821428571428	0.3876954873995052	0.8124722257653062	0.4087024898216863	0.4075446428571428
CIDs00667550	approved	Phase 4	0.7049327479557479	0.2834666666666666	0.42524	0.7824150081770082	0.9308933333333332	0.8753837142857144	0.5532374778184778	0.8117466666666666
CIDs00688272	unapproved	Phase 2	0.7735457250886589	0.7524728042328043	0.9253958843537414	0.5259238095238096	0.9083866061980348	0.811764126984127	0.7448320305043102	0.7138426984126984
CIDs00689043	unapproved	Phase 3	0.2785624699877418	0.6419528324935934	0.2706847826086956	0.7139644798136646	0.9993695652173912	0.7428895531400966	0.4774101139570796	0.6763939440993789
CIDs00708857	approved	Phase 4	0.1240764117108947	0.107436258787504	0.1228142195926681	0.1220114965494278	0.1285952130245236	0.7636009578544062	0.1267220329478952	0.6624655172413794
CIDs00854019	unapproved	Phase 2	0.7241473684210527	0.486578947368421	0.3570631578947368	0.6162947368421052	0.7950421052631579	0.7389416416040101	0.853156537176274	0.7312734586466165
CIDs00855908	unapproved	Phase 2	0.0978564639409881	0.182634899105033	0.0967638713483955	0.0977546120891363	0.0977175750520992	0.5037259149029982	0.0974990565335807	0.462324074074074
CIDs00941361	approved	Phase 4	0.2093148237912323	0.1183908450704225	0.1058717974513749	0.9205352112676056	0.6843858484238766	0.7957880281690142	0.2520851325122452	0.5503802816901409
CIDs00941651	approved	Phase 4	0.5710914872798435	0.4928526828194636	0.8353009458577952	0.217915805313408	0.9168219178082192	0.3006563926940639	0.4824495065177929	0.1934109589041096
CIDs00969472	approved	Phase 4	0.400657619047619	0.9664456235827664	0.9820571428571429	0.0922142857142857	0.3690723570477142	0.7209093537414967	0.6123293214688034	0.6782488095238095
CIDs01201549	approved	Phase 4	0.4138685536310536	0.8115073044073045	0.1928955866580866	0.9352837837837836	0.4999054054054054	0.8745543436293436	0.779327465514211	0.923554054054054
CIDs01349907	approved	Phase 4	0.6034551182891182	0.5773519365079365	0.8606533333333333	0.43432	0.4044613992303992	0.6332154126984126	0.7326958807125904	0.6907466666666666
CIDs01383884	unapproved	Phase 1	0.720348380952381	0.6070073412698413	0.9851843333333332	0.8837999999999999	0.8627400000000001	0.4403988034188034	0.6233355912698413	0.6543186666666666
CIDs01547484	approved	Phase 4	0.4069748039215686	0.6401139635854342	0.9774235294117648	0.6191411764705883	0.0509058823529412	0.7813709803921569	0.6517475857149386	0.7487058823529412
CIDs01548886	approved	Phase 4	0.2695194444444445	0.4400769230769231	0.8444396214896214	0.3812051282051282	0.9015128205128204	0.4184957315832315	0.7954576923076924	0.4904957264957264
CIDs01548943	approved	Phase 4	0.6038885196208112	0.9917005456349206	0.2704047316495235	0.2618853820947571	0.9787083333333332	0.7242507936507937	0.7981363921957673	0.7082912037037037
CIDs01548952	unapproved	Phase 3	0.6063270425528577	0.9983478260869564	0.4054782608695652	0.9650543478260868	0.3500108695652174	0.7076722826086957	0.564556913105011	0.6581195652173913
CIDs01548999	approved	Phase 4	0.7694053880596528	0.8460541176470587	0.9338117647058825	0.6001666666666667	0.9397058823529412	0.6993070448179272	0.6976401994140948	0.5814117647058824
CIDs01549007	approved	Phase 4	0.7658987535612536	0.9985926099185714	0.0764358974358974	0.1734615384615384	0.0257051282051282	0.7982091575091576	0.1073226495726495	0.5126666666666667
CIDs01549119	unapproved	Phase 2	0.8013636752136752	0.8576100626875208	0.9489807692307692	0.8940192307692307	0.3152307692307692	0.6235198221916972	0.4838717535174333	0.7561516025641026
CIDs01550285	unapproved	Phase 1	0.755183486238532	0.6522844036697248	0.6026336261001458	0.1872660550458715	0.0	0.6075950087374399	0.3678055517280348	0.4264831804281345
CIDs01712095	unapproved	Phase 3	0.3526725689628602	0.1883768069039914	0.8540485436893204	0.6537766990291262	0.1682038834951456	0.5090478642177672	0.564700479725237	0.5877961165048544
CIDs01794426	unapproved	Phase 2	0.5406812485858159	0.3718766941391941	0.1555961538461538	0.4290793269230769	0.0266019595788826	0.6507921474358974	0.6557564331501832	0.6034375
CIDs02724354	approved	Phase 4	0.2192376162084946	0.1008389961389961	0.0130952702702702	0.6275810810810811	0.7461403474903474	0.5101219755469756	0.693800898950899	0.5506908301158301
CIDs02724385	approved	Phase 4	0.5764290703876069	0.1481847560975609	0.9919878048780488	0.6959218479726663	0.8082439024390243	0.746189837398374	0.7669840191989582	0.7970701219512196
CIDs02733525	approved	Phase 4	0.8785989451476793	0.8638143459915611	0.9895162447257384	0.6657848101265823	0.2647220012055455	0.6010400843881857	0.8859405213984327	0.6247848101265824
CIDs02826713	unapproved	Phase 1	0.3928957373091485	0.5939684210526316	0.2918210526315789	0.7730476821968609	0.3832526315789473	0.4784394987468671	0.596847693478918	0.4887052631578947
