STITCH ID	Drug status	Phase	CGE	OGE_CGE	Chemical	OGE	OGE_CGE_Network_Expression	OGE_CGE_Network_Expression_Chemical
CIDs16137348	unapproved	Phase 2	0.9057252747252748	0.8807972927865785	0.8291089743589743	0.3783142579642579	0.6381129527981176	0.7228901098901099
CIDs16157882	approved	Phase 4	0.4261710526315789	0.7555159617794486	0.4449657894736842	0.947358552631579	0.6668087107881439	0.5441973684210527
CIDs16158207	approved	Phase 4	0.2637662337662338	0.7719759543486817	0.5979471861471861	0.9964805194805196	0.5815549155750455	0.6310389610389611
CIDs16158473	approved	Phase 4	0.7799259259259259	0.5993785422711471	0.3844537037037037	0.922724493836068	0.4702389841590913	0.4403703703703704
CIDs16201612	unapproved	Phase 1	0.9276019417475728	0.8164724919093851	0.5348721682847897	0.7294902912621359	0.8082522306981046	0.5490873786407767
CIDs16220172	approved	Phase 4	0.6670161290322582	0.3826229991385408	0.199823732718894	0.6921029107541206	0.5977718446885195	0.3618387096774194
CIDs16220188	unapproved	Phase 2	0.0009462365591397	0.0008891193036354	0.1653228451954258	0.0004408602150537	0.0001365591397849	0.0544301075268817
CIDs16654980	unapproved	Phase 3	0.3319803921568627	0.1695291164989695	0.5079768674136321	0.8738423280423281	0.0218617219109866	0.2495588235294117
CIDs16659841	unapproved	Phase 2	0.991804054054054	0.5596323843823845	0.5361273595023596	0.1860734394234394	0.2391727292681627	0.3009189189189189
CIDs16662431	unapproved	Phase 3	0.4571	0.199590108106704	0.2901475757575757	0.9643987955674904	0.3249041939115626	0.2887636363636363
CIDs16681432	approved	Phase 4	0.3568311688311688	0.7694772727272727	0.50355	0.8038181818181818	0.6417421427958766	0.559012987012987
CIDs16718576	unapproved	Phase 2	0.2020392156862745	0.1144019607843137	0.2282940242763771	0.013167070239129	0.2500492766764825	0.2562941176470588
CIDs16720766	unapproved	Phase 3	0.4624545454545454	0.1148697009051554	0.1996483333333333	0.5743814094995914	0.2684984848484848	0.0708818181818181
CIDs16725726	unapproved	Phase 1	0.8325326916582235	0.6565299725983237	0.2269568642350557	0.0224414893617021	0.262403409474686	0.099095744680851
CIDs16736529	unapproved	Phase 2	0.0874039297272307	0.3391506241331484	0.3379391585760518	0.1153009708737864	0.1446861192280088	0.2464077669902912
CIDs16739650	unapproved	Phase 1	0.0852777777777777	0.1853888888888888	0.2462003703703703	0.9055555555555556	0.4812327541594208	0.2174333333333333
CIDs16750192	unapproved	Phase 1	0.4936061519873158	0.4896364211740283	0.4696962362952054	0.4184067015638123	0.4875748805096526	0.3402886597938144
CIDs17747460	unapproved	Phase 2	0.0312722789115646	0.0303026360544217	0.4079173469387755	0.0250528911564626	0.0257200721730583	0.3202551020408163
CIDs17754438	unapproved	Phase 1	0.0112395833333333	0.0042350735780423	0.4035047619047618	0.1166416373233481	0.0028920350627381	0.1340104166666666
CIDs17755052	unapproved	Phase 2	0.7581785714285714	0.523100636915452	0.1483363095238095	0.0553690171627628	0.1877402777777777	0.0431339285714286
CIDs18444613	unapproved	Phase 2	0.0767745511003254	0.3016392764988969	0.1033207964601769	0.0007153392330383	0.2963485783410418	0.1719823008849557
CIDs19371515	approved	Phase 4	0.8441235492110511	0.8441235492110511	0.7647824806949807	0.8441370627245648	0.8441235492110511	0.7333783783783784
CIDs20055008	unapproved	Phase 2	0.9797272727272728	0.6852360028860028	0.8358995562770563	0.9074563629804538	0.3437430952380952	0.7003439393939395
CIDs20629114	unapproved	Phase 2	0.2374100280828804	0.1650690600342567	0.4488761086822968	0.5462446566085181	0.2470202343731464	0.4574950495049505
CIDs21071390	unapproved	Phase 3	0.0977028301886792	0.1523831297975217	0.5634150269541779	0.099270347123596	0.0806664340383088	0.3985283018867924
CIDs21302490	approved	Phase 4	0.3509475557855993	0.2393925251758181	0.4908540257648953	0.7796793133195307	0.5694051714970385	0.4759420289855072
CIDs21628493	unapproved	Phase 3	0.6998829787234043	0.7708822104018913	0.756993515704154	0.5098649296034936	0.8211845537614938	0.667936170212766
CIDs21874557	unapproved	Phase 2	0.1017249274901761	0.1016946244598731	0.3183593795093795	0.1815437082015437	0.1014555672208158	0.2856464646464646
CIDs22049997	unapproved	Phase 2	0.1447968452265327	0.2186420841600529	0.4350316468253968	0.5270474642255892	0.1396189515923891	0.2710416666666667
CIDs22591684	unapproved	Phase 2	0.262494623655914	0.2928875064004096	0.3147060035842294	0.1464086021505376	0.2051626405553825	0.3968451612903225
CIDs23624255	unapproved	Phase 3	0.2559207920792079	0.1871930693069307	0.0615742574257425	0.2899780763790665	0.0278960553198177	0.0225346534653465
CIDs23652686	unapproved	Phase 2	0.3418070063086592	0.3157171974490156	0.575848025711662	0.0510308217952847	0.4409871127325258	0.6379752066115701
CIDs23652731	approved	Phase 4	0.9464343434343434	0.8839066956191957	0.3775095959595959	0.9826969696969696	0.3114172118285754	0.3318484848484848
CIDs23653789	unapproved	Phase 3	5.5555555555555606e-05	0.0341817148581648	0.385067037037037	0.0738248587650548	0.1599988545735501	0.3681555555555555
CIDs23668479	approved	Phase 4	0.5392799533146593	0.6845345729232278	0.290082212885154	0.2591657983193277	0.6280561092504927	0.5174235294117647
CIDs23676880	unapproved	Phase 3	0.3342659574468085	0.3458654761904762	0.1490108156028368	0.9244468085106382	0.6546438142826441	0.3987925531914894
CIDs23690938	approved	Phase 4	0.1707721518987341	0.671632911392405	0.8171281595338559	0.8907627335744425	0.7761120942162826	0.8569050632911391
CIDs23727689	unapproved	Phase 3	0.1360681818181818	0.3280103912501639	0.3321149621212121	0.4646104810278105	0.3729870216273625	0.1924318181818182
CIDs24737642	unapproved	Phase 2	0.1862355690385102	0.6608327189937485	0.2995468432718433	0.2452612612612612	0.578635999743565	0.3662162162162162
CIDs24745335	unapproved	Phase 2	0.2199903347461602	0.2049141442699698	0.6668918862690707	0.2245021932759799	0.2025240032621103	0.5667199838187702
CIDs24748204	unapproved	Phase 1	0.0036938775510204	0.0412857142857143	0.1929839650145772	0.0927244897959183	0.0788647574858851	0.1054081632653061
CIDs24748573	unapproved	Phase 2	0.2127999999999999	0.0710283472391805	0.1728398809523809	0.1266444444444444	0.1116683803953089	0.0711888888888888
CIDs24756910	unapproved	Phase 1	0.072215773380059	0.0661950917865202	0.1918619047619048	0.0143088888888889	0.0252857697914564	0.0589714285714285
CIDs24767976	unapproved	Phase 1	0.982741573033708	0.4553910639169892	0.0510224719101123	0.1673483146067415	0.1209202969975607	0.0612696629213483
CIDs24771368	unapproved	Phase 2	0.0310069523809523	0.0295823571428571	0.468233	0.0218939761904762	0.0256463108949873	0.4334066666666666
CIDs24771824	unapproved	Phase 2	0.107061855670103	0.1491547154163133	0.1052283505154639	0.3497432989690722	0.2008539415507111	0.1687628865979381
CIDs24771867	unapproved	Phase 3	0.497509900990099	0.1850545733144743	0.0772247524752475	0.4254356435643564	0.084870261669024	0.0268019801980198
CIDs24772484	unapproved	Phase 2	0.0259879518072289	0.1306419181400606	0.1459735226620769	0.0807339357429719	0.1433733319384251	0.2030843373493975
CIDs24779724	unapproved	Phase 1	0.0144269662921348	0.0042803370786516	0.2244735420010701	0.1234711909674993	0.0031908257940561	0.0992808988764044
CIDs24785538	unapproved	Phase 2	0.3635104166666666	0.1170699814942002	0.1174279513888889	0.4923958333333333	0.0673245659722222	0.0127083333333333
CIDs24788740	unapproved	Phase 3	0.2607845350404312	0.424225179334372	0.3288312219227313	0.3490563386430131	0.1042572997579459	0.1859716981132075
CIDs24794418	unapproved	Phase 2	0.5338852639208619	0.6683238808443971	0.0698586956521739	0.7232508540372671	0.2006063499905891	0.0953695652173912
CIDs24795070	unapproved	Phase 1	0.3817471264367815	0.1446001903616254	0.2295280970625798	0.0571446132314379	0.3455571358398944	0.1446091954022988
